1 ; 10
1 ; 20
1 ; 30
1 ; 40
1 ; 50
2 ; 15
2 ; 25
2 ; 35
2 ; 45
2 ; 55
3 ; 12
3 ; 23
3 ; 34
3 ; 45
3 ; 56
5 ; 100
5 ; 200
5 ; 300
5 ; 400
5 ; 500
8 ; 125
8 ; 225
8 ; 325
8 ; 425
8 ; 525
13 ; 130
13 ; 230
13 ; 330
13 ; 430
13 ; 530
21 ; 210
21 ; 310
21 ; 410
21 ; 510
21 ; 610
34 ; 340
34 ; 440
34 ; 540
34 ; 640
34 ; 740
55 ; 550
55 ; 650
55 ; 750
55 ; 850
55 ; 950
89 ; 890
89 ; 990
89 ; 1090
89 ; 1190
89 ; 1290
144 ; 1440
144 ; 1540
144 ; 1640
144 ; 1740
144 ; 1840
233 ; 2330
233 ; 2430
233 ; 2530
233 ; 2630
233 ; 2730
377 ; 3770
377 ; 3870
377 ; 3970
377 ; 4070
377 ; 4170
610 ; 6100
610 ; 6200
610 ; 6300
610 ; 6400
610 ; 6500
987 ; 9870
987 ; 9970
987 ; 10070
987 ; 10170
987 ; 10270
